Time(hh:mm:ss),Temperature(C),1,2,3,4,5,6,7,8,9,10,11,12,,,,
,,426.263,327.355,377.719,646.045,509.96,522.657,881.296,875.194,861.811,583.25,608.984,657.459,,,,
,,418.278,357.517,371.846,656.194,514.158,536.643,900.531,821.55,877.678,830.913,645.691,987.643,,,,
,,421.245,348.018,366.151,680.337,512.301,550.8,931.56,919.769,850.589,848.428,834.041,815.208,,,,
,,1017.427,1004.234,1023.589,1041.969,984.151,1003.801,1154.806,1348.775,1372.288,882.499,803.259,934.543,,,,
,,160.153,155.62,160.751,161.309,162.003,175.614,167.939,179.121,182.537,57.736,55.969,58.31,,,,
,,,,,,,,,,,,,,,,,
20:00,37,284.965,273.081,274.08,400.062,393.848,378.355,519.387,579.675,648.653,172.985,182.856,216.129,,,,
,,279.38,267.278,269.698,423.424,360.463,348.937,525.435,511.925,632.586,605.915,559.602,588.111,,,,
,,274.85,269.775,272.791,425.284,337.268,347.083,515.719,567.854,622.505,605.531,572.764,721.996,,,,
,,443.639,339.877,392.291,676.005,521.334,551.958,920.359,908.451,888.545,607.081,633.814,684.952,,,,
,,430.96,370.007,377.493,688.862,545.621,553.482,932.039,838.047,901.598,864.95,669.59,1025.824,,,,
,,433.808,365.626,392.849,700.829,526.884,569.898,950.925,958.556,884.975,883.04,868.878,847.476,,,,
,,1042.071,1032.241,1033.507,1074.227,1042.155,1039.862,1171.955,1369.328,1419.195,914.996,836.318,967.269,,,,
,,162.596,159.301,163.482,161.839,162.984,178.524,171.055,182.142,178.965,57.549,56.445,57.038,,,,
,,,,,,,,,,,,,,,,,
21:00,37,285.119,276.576,275.389,407.621,397.495,388.351,531.015,588.182,655.784,170.679,179.983,212.49,,,,
,,274.794,270.688,274.162,429.885,361.787,354.756,543.593,524.995,660.648,621.136,561.407,598.275,,,,
,,275.116,270.476,269.586,429.688,352.094,350.156,519.034,575.427,646.898,617.51,580.216,729.606,,,,
,,447.58,346.912,398.975,683.853,536.548,556.958,919.871,942.179,918.235,609.026,637.567,687.555,,,,
,,437.808,377.51,396.998,698.011,549.511,572.606,941.666,858.677,928.825,887.076,683.519,1037.414,,,,
,,450.299,367.579,388.505,720.367,541.94,577.132,974.613,959.475,897.123,908.525,885.192,832.7,,,,
,,1048.192,1042.447,1061.983,1090.484,1052.795,1054.522,1179.056,1374.362,1418.526,927.114,853.377,993.968,,,,
,,155.408,156.955,159.611,159.074,159.169,174.544,166.728,180.234,183.823,58.315,55.187,54.902,,,,
,,,,,,,,,,,,,,,,,
22:00,37,294.718,286.838,289.225,423.1,414.358,402.55,554.604,615.855,682.343,171.042,183.121,214.211,,,,
,,287.048,279.095,281.576,445.891,386.923,375.558,556.875,548.482,674.125,649.112,598.177,621.622,,,,
,,290.141,281.946,282.009,450.795,356.399,366.287,551.603,607.424,673.823,643.574,591.578,770.879,,,,
